Title,Artist,Cluster
Rockin' at Midnight - 2006 Remaster,The Honeydrippers,4
There Goes My Baby (Single Version),The Drifters,1
3AM,Matchbox Twenty,4
6th Avenue Heartache,The Wallflowers,4
1983,Neon Trees,4
The 59th Street Bridge Song (Feelin' Groovy),Simon & Garfunkel,3
99 Luftballons,Nena,4
According To You,Orianthi,4
Afternoon Delight,Starland Vocal Band,3
Ain't No Stoppin' Us Now,McFadden & Whitehead,4
Alfie,Lily Allen,4
All Right,Christopher Cross,0
All Star,Smash Mouth,4
All Summer Long,Kid Rock,4
Angel Of The Morning,Juice Newton,3
As Long as You Follow - 2002 Remaster,Fleetwood Mac,4
Baby Driver,Simon & Garfunkel,4
Back Off Boogaloo,Ringo Starr,4
Baker Street,Gerry Rafferty,3
Ballroom Blitz,Sweet,0
Beach Baby,First Class,4
Bobbie Sue,The Oak Ridge Boys,4
Boulevard,Jackson Browne,4
The Boys Are Back In Town,Thin Lizzy,4
Brandy (You're a Fine Girl),Looking Glass,0
Break My Stride,Matthew Wilder,4
Bring It Back Again,Stray Cats,4
Bus Stop - 1997 Remaster,The Hollies,0
The Candy Man,Sammy Davis Jr.,3
Celebration,Kool & The Gang,4
Champagne Jam,Atlanta Rhythm Section,4
Changes,Yes,0
Chevy Van (Original),Sammy Johns,3
Chuck E's in Love,Rickie Lee Jones,4
Clair,Gilbert O'Sullivan,4
Cliffs Of Dover - Instrumental,Eric Johnson,4
Come Dancing,The Kinks,0
Crazy Little Thing Called Love,Queen,4
Crocodile Rock,Elton John,0
The Curly Shuffle,Jump 'N' The Saddle Band,4
Dan the Banjo Man,Dan The Banjo Man,4
The Death of Suzzy Roche,The Roches,4
The Devil Went Down to Georgia,The Charlie Daniels Band,4
Dream Weaver,Gary Wright,3
Dreamer - Remastered 2010,Supertramp,3
Driver's Seat,Sniff 'n' The Tears,0
The Entertainer - The Sting/Soundtrack Version/Orchestra Version,Marvin Hamlisch,3
"Everybody Loves Me, Baby",Don McLean,1
Everyday - Single Version,Buddy Holly,3
Fanfare For The Common Man,"Emerson, Lake & Palmer",4
Fat Bottomed Girls,Queen,4
Fireflies,Owl City,4
Float On,Modest Mouse,4
Frankenstein,The Edgar Winter Group,4
Free And Easy,Helen Reddy,4
Free Ride,The Edgar Winter Group,4
Funkytown - Single Version,Lipps Inc.,4
Genius of Love,Tom Tom Club,4
Get Down,Gilbert O'Sullivan,4
Go All The Way,Raspberries,4
Two Of Us - Remastered 2009,The Beatles,4
Across The Universe - Remastered 2009,The Beatles,3
I Me Mine - Remastered 2009,The Beatles,0
Let It Be - Remastered 2009,The Beatles,3
One After 909 - Remastered 2009,The Beatles,1
The Long And Winding Road - Remastered 2009,The Beatles,3
Get Back - Remastered 2009,The Beatles,1
Come Together - Remastered 2009,The Beatles,0
Something - Remastered 2009,The Beatles,3
Maxwell's Silver Hammer - Remastered 2009,The Beatles,4
Oh! Darling - Remastered 2009,The Beatles,4
Octopus's Garden - Remastered 2009,The Beatles,0
I Want You (She's So Heavy) - Remastered 2009,The Beatles,0
Here Comes The Sun - Remastered 2009,The Beatles,4
Because - Remastered 2009,The Beatles,3
You Never Give Me Your Money - Remastered 2009,The Beatles,3
Sun King - Remastered 2009,The Beatles,3
Mean Mr Mustard - Remastered 2009,The Beatles,4
Polythene Pam - Remastered 2009,The Beatles,0
She Came In Through The Bathroom Window - Remastered 2009,The Beatles,4
Golden Slumbers - Remastered 2009,The Beatles,3
Carry That Weight - Remastered 2009,The Beatles,4
The End - Remastered 2009,The Beatles,0
Her Majesty - Remastered 2009,The Beatles,3
All Together Now - Remastered 2009,The Beatles,1
All You Need Is Love - Remastered 2009,The Beatles,3
Dear Prudence - Remastered 2009,The Beatles,4
Glass Onion - Remastered 2009,The Beatles,0
"Ob-La-Di, Ob-La-Da - Remastered 2009",The Beatles,4
Wild Honey Pie - Remastered 2009,The Beatles,1
The Continuing Story Of Bungalow Bill - Remastered 2009,The Beatles,1
While My Guitar Gently Weeps - Remastered 2009,The Beatles,0
Happiness Is A Warm Gun - Remastered 2009,The Beatles,0
Martha My Dear - Remastered 2009,The Beatles,3
I'm So Tired - Remastered 2009,The Beatles,1
Blackbird - Remastered 2009,The Beatles,3
Piggies - Remastered 2009,The Beatles,1
Rocky Raccoon - Remastered 2009,The Beatles,3
Don't Pass Me By - Remastered 2009,The Beatles,4
Why Don't We Do It In The Road? - Remastered 2009,The Beatles,4
I Will - Remastered 2009,The Beatles,3
Julia - Remastered 2009,The Beatles,3
Birthday - Remastered 2009,The Beatles,4
Yer Blues - Remastered 2009,The Beatles,4
Everybody's Got Something To Hide Except Me And My Monkey - Remastered 2009,The Beatles,4
Sexy Sadie - Remastered 2009,The Beatles,4
Helter Skelter - Remastered 2009,The Beatles,1
Revolution 1 - Remastered 2009,The Beatles,1
Honey Pie - Remastered 2009,The Beatles,3
Revolution 9 - Remastered 2009,The Beatles,1
Magical Mystery Tour - Remastered 2009,The Beatles,4
The Fool On The Hill - Remastered 2009,The Beatles,3
Blue Jay Way - Remastered 2009,The Beatles,3
Your Mother Should Know - Remastered 2009,The Beatles,3
I Am The Walrus - Remastered 2009,The Beatles,1
"Hello, Goodbye - Remastered 2009",The Beatles,4
Strawberry Fields Forever - Remastered 2009,The Beatles,3
Penny Lane - Remastered 2009,The Beatles,4
"Baby, You're A Rich Man - Remastered 2009",The Beatles,4
Sgt. Pepper's Lonely Hearts Club Band - Remastered 2009,The Beatles,1
With A Little Help From My Friends - Remastered 2009,The Beatles,4
Lucy In The Sky With Diamonds - Remastered 2009,The Beatles,3
Getting Better - Remastered 2009,The Beatles,4
Fixing A Hole - Remastered 2009,The Beatles,0
She's Leaving Home - Remastered 2009,The Beatles,3
Being For The Benefit Of Mr. Kite! - Remastered 2009,The Beatles,4
Within You Without You - Remastered 2009,The Beatles,1
When I'm Sixty Four - Remastered 2009,The Beatles,3
Lovely Rita - Remastered 2009,The Beatles,0
Good Morning Good Morning - Remastered 2009,The Beatles,1
Sgt. Pepper's Lonely Hearts Club Band - Reprise / Remastered 2009,The Beatles,1
A Day In The Life - Remastered 2009,The Beatles,1
Taxman - Remastered 2009,The Beatles,4
Eleanor Rigby - Remastered 2009,The Beatles,3
I'm Only Sleeping - Remastered 2009,The Beatles,0
"Here, There And Everywhere - Remastered 2009",The Beatles,3
Yellow Submarine - Remastered 2009,The Beatles,4
She Said She Said - Remastered 2009,The Beatles,1
Good Day Sunshine - Remastered 2009,The Beatles,3
And Your Bird Can Sing - Remastered 2009,The Beatles,4
Doctor Robert - Remastered 2009,The Beatles,4
Got To Get You Into My Life - Remastered 2009,The Beatles,4
Tomorrow Never Knows - Remastered 2009,The Beatles,4
Drive My Car - Remastered 2009,The Beatles,4
Norwegian Wood (This Bird Has Flown) - Remastered 2009,The Beatles,4
Nowhere Man - Remastered 2009,The Beatles,4
Think For Yourself - Remastered 2009,The Beatles,4
Michelle - Remastered 2009,The Beatles,3
Girl - Remastered 2009,The Beatles,0
In My Life - Remastered 2009,The Beatles,3
Run For Your Life - Remastered 2009,The Beatles,4
Help! - Remastered 2009,The Beatles,0
The Night Before - Remastered 2009,The Beatles,4
You've Got To Hide Your Love Away - Remastered 2009,The Beatles,3
You're Going To Lose That Girl - Remastered 2009,The Beatles,4
Ticket To Ride - Remastered 2009,The Beatles,4
Yesterday - Remastered 2009,The Beatles,3
Dizzy Miss Lizzy - Remastered 2009,The Beatles,4
No Reply - Remastered 2009,The Beatles,4
I'm A Loser - Remastered 2009,The Beatles,4
Rock And Roll Music - Remastered 2009,The Beatles,4
I'll Follow The Sun - Remastered 2009,The Beatles,3
Eight Days A Week - Remastered 2009,The Beatles,4
Honey Don't - Remastered 2009,The Beatles,4
A Hard Day's Night - Remastered 2009,The Beatles,4
I Should Have Known Better - Remastered 2009,The Beatles,4
If I Fell - Remastered 2009,The Beatles,3
I'm Happy Just To Dance With You - Remastered 2009,The Beatles,0
And I Love Her - Remastered 2009,The Beatles,0
Can't Buy Me Love - Remastered 2009,The Beatles,4
Any Time At All - Remastered 2009,The Beatles,4
I'll Cry Instead - Remastered 2009,The Beatles,4
Things We Said Today - Remastered 2009,The Beatles,0
I'll Be Back - Remastered 2009,The Beatles,4
It Won't Be Long - Remastered 2009,The Beatles,4
All My Loving - Remastered 2009,The Beatles,0
Don't Bother Me - Remastered 2009,The Beatles,4
Roll Over Beethoven - Remastered 2009,The Beatles,4
You Really Got A Hold On Me - Remastered 2009,The Beatles,3
Money (That's What I Want) - Remastered 2009,The Beatles,0
I Saw Her Standing There - Remastered 2009,The Beatles,4
Chains - Remastered 2009,The Beatles,4
Please Please Me - Remastered 2009,The Beatles,4
Love Me Do - Remastered 2009,The Beatles,4
P.S. I Love You - Remastered 2009,The Beatles,4
There's A Place - Remastered 2009,The Beatles,4
Twist And Shout - Remastered 2009,The Beatles,4
Do You Want To Know A Secret - Remastered 2009,The Beatles,3
It's Going To Take Some Time,Carpenters,3
Jambalaya (On The Bayou),Carpenters,4
Touch Me When We're Dancing,Carpenters,3
Solitaire,Carpenters,3
We've Only Just Begun,Carpenters,3
Only Yesterday,Carpenters,4
Sing,Carpenters,3
Calling Occupants Of Interplanetary Craft (The Recognized Anthem Of World Contact Day),Carpenters,3
I Believe You,Carpenters,3
B'wana She No Home,Carpenters,0
All You Get From Love Is A Love Song,Carpenters,4
I Just Fall In Love Again,Carpenters,3
On The Balcony Of The Casa Rosada/Don't Cry For Me Argentina,Carpenters,3
"Sweet, Sweet Smile",Carpenters,4
Two Sides,Carpenters,3
Man Smart Woman Smarter,Carpenters,4
There's A Kind Of Hush,Carpenters,4
You,Carpenters,3
Sandy,Carpenters,3
Goofus,Carpenters,3
Can't Smile Without You,Carpenters,3
I Need To Be In Love,Carpenters,3
One More Time,Carpenters,3
Boat To Sail,Carpenters,3
I Have You,Carpenters,3
Only Yesterday,Carpenters,4
Please Mr. Postman,Carpenters,4
Eventide,Carpenters,3
Top Of The World - Single Mix,Carpenters,3
Rainy Days And Mondays - Single Version,Carpenters,3
Yesterday Once More,Carpenters,3
For All We Know,Carpenters,3
(They Long To Be) Close To You,Carpenters,3
Heather,Carpenters,2
"Fun, Fun, Fun",Carpenters,4
Da Doo Ron Ron,Carpenters,1
Johnny Angel,Carpenters,3
The Night Has A Thousand Eyes,Carpenters,3
Our Day Will Come,Carpenters,3
One Fine Day,Carpenters,3
A Song For You,Carpenters,3
Hurting Each Other,Carpenters,3
Goodbye To Love,Carpenters,3
Intermission (Carpenters/A Song For You),Carpenters,3
Bless The Beasts And Children,Carpenters,3
Flat Baroque,Carpenters,2
Piano Picker,Carpenters,3
I Won't Last A Day Without You,Carpenters,3
Crystal Lullaby,Carpenters,3
Road Ode,Carpenters,3
Saturday,Carpenters,3
Let Me Be The One,Carpenters,3
(A Place To) Hide Away,Carpenters,3
Superstar,Carpenters,3
Druscilla Penny,Carpenters,1
One Love,Carpenters,3
Bacharach/David Medley: Knowing When To Leave/Make It Easy On Yourself/There's Always Something There To Remind Me/I'll Never Fall In Love Again/Walk On By/Do You Know The Way To San Jose,Carpenters,3
Sometimes,Carpenters,3
Love Is Surrender,Carpenters,3
Maybe It's You,Carpenters,3
Reason To Believe,Carpenters,3
Help,Carpenters,3
Baby It's You,Carpenters,3
I'll Never Fall In Love Again,Carpenters,3
Crescent Noon,Carpenters,3
Mr. Guder,Carpenters,3
I Kept On Loving You,Carpenters,4
Another Song,Carpenters,0
Ticket To Ride,Carpenters,3
Sweet City Woman,Stampeders,4
Born To Be Wild - Single Version,Steppenwolf,4
Magic Carpet Ride,Steppenwolf,0
The Pusher,Steppenwolf,4
I'm Easy,Keith Carradine,3
Shine a Little Love,Electric Light Orchestra,4
Confusion,Electric Light Orchestra,4
Need Her Love,Electric Light Orchestra,3
The Diary of Horace Wimp,Electric Light Orchestra,1
Last Train to London,Electric Light Orchestra,4
Midnight Blue,Electric Light Orchestra,3
Don't Bring Me Down,Electric Light Orchestra,4
Mr. Blue Sky,Electric Light Orchestra,3
Tightrope,Electric Light Orchestra,0
Telephone Line,Electric Light Orchestra,3
Rockaria!,Electric Light Orchestra,4
Mission (A World Record),Electric Light Orchestra,3
So Fine,Electric Light Orchestra,4
Livin' Thing,Electric Light Orchestra,3
Above the Clouds,Electric Light Orchestra,3
Do Ya,Electric Light Orchestra,1
Shangri-La,Electric Light Orchestra,3
Fire On High,Electric Light Orchestra,3
Evil Woman,Electric Light Orchestra,0
Strange Magic,Electric Light Orchestra,1
Can't Get It out of My Head,Electric Light Orchestra,3
Turn to Stone,Electric Light Orchestra,0
It's Over,Electric Light Orchestra,0
Sweet Talkin' Woman,Electric Light Orchestra,4
Mr. Roboto,Styx,4
A.D. 1928,Styx,3
Rockin' The Paradise,Styx,4
Too Much Time On My Hands,Styx,0
Nothing Ever Goes As Planned,Styx,0
The Best Of Times,Styx,3
Lonely People,Styx,1
Snowblind,Styx,3
A.D. 1958,Styx,3
Lights,Styx,3
Babe,Styx,3
Borrowed Time,Styx,4
Blue Collar Man (Long Nights),Styx,0
Renegade,Styx,0
The Grand Illusion,Styx,4
Fooling Yourself (The Angry Young Man),Styx,3
Come Sail Away,Styx,3
Superstars,Styx,4
Miss America,Styx,0
Mademoiselle,Styx,4
Light Up,Styx,4
Lorelei,Styx,4
Lady,Styx,4
Eye In The Sky,The Alan Parsons Project,3
Psychobabble,The Alan Parsons Project,4
Games People Play,The Alan Parsons Project,0
Time,The Alan Parsons Project,3
Lucifer,The Alan Parsons Project,4
Damned If I Do,The Alan Parsons Project,0
I Wouldn't Want to Be Like You,The Alan Parsons Project,0
Some Other Time,The Alan Parsons Project,0
I Robot,The Alan Parsons Project,4
Breakdown,The Alan Parsons Project,4
Don't Let It Show,The Alan Parsons Project,3
The Voice,The Alan Parsons Project,4
Day After Day (The Show Must Go On),The Alan Parsons Project,3
The Raven - 1987 Remix,The Alan Parsons Project,3
The Tell-Tale Heart - 1987 Remix,The Alan Parsons Project,0
(The System Of) Doctor Tarr And Professor Fether - 1987 Remix,The Alan Parsons Project,4
Rhythm of Love,Yes,4
Owner of a Lonely Heart,Yes,4
Hold On,Yes,4
It Can Happen,Yes,4
Leave It,Yes,4
Our Song,Yes,4
City of Love,Yes,4
Hearts,Yes,4
Roundabout - 2008 Remaster,Yes,0
Long Distance Runaround - 2008 Remaster,Yes,1
We Have Heaven - 2008 Remaster,Yes,0
"I've Seen All Good People: a. Your Move, b. All Good People - 2008 Remaster",Yes,4
The Clap - 2008 Remaster,Yes,1
Rainy Days And Mondays,Carpenters,3
Mandy,Barry Manilow,3
If,Bread,3
All Out of Love,Air Supply,3
Please Mr. Please,Olivia Newton-John,3
You Needed Me,Anne Murray,3
Love Will Keep Us Together,Captain & Tennille,4
My Eyes Adored You,Frankie Valli,0
Angie Baby,Helen Reddy,0
Everything I Own,Bread,3
When Will I See You Again,The Three Degrees,4
I'm Not Lisa,Jessi Colter,3
This Masquerade,Carpenters,3
Making Love Out of Nothing at All,Air Supply,4
Lost In Love,Air Supply,3
Make It with You,Bread,3
Have You Never Been Mellow,Olivia Newton-John,3
"Endless Love - From ""The Endless Love"" Soundtrack",Lionel Richie,3
"Endless Love - From ""The Endless Love"" Soundtrack",Diana Ross,3
The Winner Takes It All,ABBA,4
I'm Not In Love,10cc,3
Too Much Heaven,Bee Gees,1
Knock Three Times,Tony Orlando & Dawn,4
Candida,The Dawn,4
Candida,Tony Orlando & Dawn,4
"Say, Has Anybody Seen My Sweet Gypsy Rose",Tony Orlando & Dawn,4
Who's In The Strawberry Patch With Sally - Digitally Remastered 1998,Tony Orlando & Dawn,1
How Deep Is Your Love,Bee Gees,0
Baby I'm-a Want You,Bread,3
Every Woman in the World,Air Supply,3
Long Tall Glasses (I Can Dance) - Remastered,Leo Sayer,4
Swearin' to God - Single Version,Frankie Valli,4
Steppin' Out (I'm Gonna Boogie Tonight) - Digitally Remastered 1998,Tony Orlando & Dawn,4
Bad Time - Remastered 2002,Grand Funk Railroad,0
I've Never Been to Me - Rerecorded,Charlene,3
Bungle in the Jungle - 2002 Remaster,Jethro Tull,0
Aubrey,Bread,3
Here I Am (Just When I Thought I Was Over You),Air Supply,1
When Will I Be Loved,Linda Ronstadt,4
Walking In Rhythm,The Blackbyrds,4
Rhinestone Cowboy,Glen Campbell,4
I'd Love You to Want Me,Lobo,4
Do That To Me One More Time,Captain & Tennille,3
Poetry Man,Phoebe Snow,3
Sha-La-La (Make Me Happy),Al Green,4
You Light Up My Life,Debby Boone,3
Chiquitita,ABBA,3
I Started A Joke,Bee Gees,3
I'll Never Love This Way Again,Dionne Warwick,0
The One That You Love,Air Supply,3
Hopelessly Devoted To You - From “Grease” Soundtrack,Olivia Newton-John,0
Only Women Bleed,Alice Cooper,3
I'd Really Love to See You Tonight,England Dan & John Ford Coley,4
Philadelphia Freedom,Elton John,0
Don't give up on us,David Soul,3
That's the Way of the World,"Earth, Wind & Fire",4
Someone Saved My Life Tonight,Elton John,3
Leader of the Band,Dan Fogelberg,3
Lost Without Your Love,Bread,3
Fernando,ABBA,3
Some Kind Of Wonderful - Remastered 1999,Grand Funk Railroad,4
At Seventeen - Remastered,Janis Ian,3
Without You,Air Supply,4
You're No Good,Linda Ronstadt,4
It's Too Late,Carole King,0
Guitar Man,Bread,0
Could It Be Magic,Barry Manilow,3
Broken Hearted Me,Anne Murray,3
Listen To What The Man Said - 1993 Digital Remaster,Wings,4
Dance with Me,Orleans,3
Sailing,Christopher Cross,3
To Love Somebody,Bee Gees,3
Woman in Love,Barbra Streisand,3
I Am Woman,Helen Reddy,4
You're My World,Helen Reddy,4
Delta Dawn,Helen Reddy,4
You And Me Against The World,Helen Reddy,3
Ain't No Way To Treat A Lady,Helen Reddy,3
I Don't Know How To Love Him,Helen Reddy,3
Leave Me Alone,Helen Reddy,4
Crazy Love,Helen Reddy,3
Peaceful,Helen Reddy,4
Think I'll Write A Song,Helen Reddy,3
Emotion,Helen Reddy,1
We'll Sing In The Sunshine,Helen Reddy,3
I Think It's Going To Rain Today,Helen Reddy,3
Our House,Helen Reddy,3
How Can I Be Sure,Helen Reddy,3
A Song For You,Helen Reddy,3
I Believe In Music,Helen Reddy,1
Somewhere In The Night,Helen Reddy,3
Raised On Rock,Helen Reddy,1
I've Been Wanting You So Long,Helen Reddy,3
You Have Lived,Helen Reddy,3
I'll Be Your Audience,Helen Reddy,0
Loneliness,Helen Reddy,3
Showbiz,Helen Reddy,1
Lovin' You,Helen Reddy,4
Until It's Time For You To Go,Helen Reddy,3
This Masquerade,Helen Reddy,0
I Didn't Mean To Love You,Helen Reddy,3
Where Is My Friend,Helen Reddy,3
And I Love You So,Helen Reddy,3
What Would They Say,Helen Reddy,3
Where Is The Love,Helen Reddy,3
"Hit The Road, Jack",Helen Reddy,4
The Last Blues Song,Helen Reddy,3
Dancing Queen,ABBA,1
Mamma Mia,ABBA,4
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,4
Take A Chance On Me,ABBA,4
Waterloo,ABBA,4
Super Trouper,ABBA,4
Voulez-Vous,ABBA,0
Head Over Heels,ABBA,0
On And On And On,ABBA,4
"Andante, Andante",ABBA,3
Me And I,ABBA,4
Our Last Summer,ABBA,1
Lay All Your Love On Me,ABBA,0
Happy New Year,ABBA,3
The Piper,ABBA,4
I Have A Dream,ABBA,3
Does Your Mother Know,ABBA,4
The Name Of The Game,ABBA,4
Thank You For The Music,ABBA,3
"Knowing Me, Knowing You",ABBA,4
"Money, Money, Money",ABBA,0
SOS,ABBA,4
Bang-A-Boomerang,ABBA,4
"I Do, I Do, I Do, I Do, I Do",ABBA,4
So Long,ABBA,4
Dance (While The Music Still Goes On),ABBA,4
"Honey, Honey",ABBA,4
Take A Chance On Me,ABBA,4
Thank You For The Music,ABBA,3
Even the Nights Are Better,Air Supply,3
Poison,Alice Cooper,0
School's Out,Alice Cooper,1
I'm Eighteen,Alice Cooper,0
Feed My Frankenstein,Alice Cooper,4
Welcome to My Nightmare,Alice Cooper,0
Devil's Food,Alice Cooper,1
The Black Widow,Alice Cooper,1
Some Folks,Alice Cooper,4
Department of Youth,Alice Cooper,1
Cold Ethyl,Alice Cooper,4
Years Ago,Alice Cooper,3
Steven,Alice Cooper,0
Billion Dollar Babies,Alice Cooper,0
No More Mr. Nice Guy,Alice Cooper,0
Under My Wheels,Alice Cooper,4
Danny's Song,Anne Murray,0
Snowbird,Anne Murray,4
Could I Have This Dance,Anne Murray,3
I Just Fall In Love Again,Anne Murray,3
Tennessee Waltz,Anne Murray,3
There Goes My Everything,Anne Murray,3
I'm Gonna Sit Right Down And Write Myself A Letter,Billy Williams,4
So Into You,Atlanta Rhythm Section,0
I'm Not Gonna Let It Bother Me Tonight,Atlanta Rhythm Section,4
Evileen,Atlanta Rhythm Section,3
Hangin' Around,The Edgar Winter Group,1
Paper Blood - 2017 Remaster,"Emerson, Lake & Palmer",4
Come On In - Single Version,The Oak Ridge Boys,4
Dancing The Night Away,The Oak Ridge Boys,4
Didn't She Really Thrill Them (Back In 1924),The Oak Ridge Boys,3
Dig A Little Deeper In The Well,The Oak Ridge Boys,4
Dream On - Single Version,The Oak Ridge Boys,3
Easy,The Oak Ridge Boys,3
Elvira,The Oak Ridge Boys,4
Emmylou,The Oak Ridge Boys,4
Every Now And Then,The Oak Ridge Boys,3
Freckles,The Oak Ridge Boys,3
Gonna Take A Lot Of River,The Oak Ridge Boys,4
I Gotta Get Over This,The Oak Ridge Boys,4
I Wish You Could Have Turned My Head (And Left My Heart Alone),The Oak Ridge Boys,4
I'll Be True To You,The Oak Ridge Boys,3
(I'm Settin') Fancy Free - Single Version,The Oak Ridge Boys,3
Leaving Louisiana In The Broad Daylight,The Oak Ridge Boys,4
Let Me Be The One,The Oak Ridge Boys,3
My Radio Sure Sounds Good To Me,The Oak Ridge Boys,0
An Old Time Family Bluegrass Band,The Oak Ridge Boys,4
Old Time Lovin',The Oak Ridge Boys,3
Sail Away,The Oak Ridge Boys,3
Sometimes The Rain Won't Let Me Sleep,The Oak Ridge Boys,3
There Must Be Something About Me That She Loves,The Oak Ridge Boys,4
This Crazy Love,The Oak Ridge Boys,4
Trying To Love Two Women - Single Version,The Oak Ridge Boys,4
Up On Cripple Creek,The Oak Ridge Boys,4
Y'all Come Back Saloon,The Oak Ridge Boys,4
You're The One - Single Version,The Oak Ridge Boys,4
Love Shack,The B-52's,1
Rock Lobster,The B-52's,4
Private Idaho,The B-52's,4
Roam,The B-52's,4
Howlin' for You,The Black Keys,4
You Get What You Give,New Radicals,4
Photograph,Ringo Starr,4
It Don't Come Easy,Ringo Starr,4
You're Sixteen (You’re Beautiful And You’re Mine),Ringo Starr,4
No-No Song,Ringo Starr,4
Only You (And You Alone),Ringo Starr,4
Oh My My,Ringo Starr,4
Act Naturally,Ringo Starr,4
Act Naturally,Buck Owens,4
Shang-a-Lang,Bay City Rollers,4
Keep on Dancing - Les McKeown Version,Bay City Rollers,1
Remember (Sha La La La),Bay City Rollers,4
Summerlove Sensation,Bay City Rollers,1
You Made Me Believe In Magic,Bay City Rollers,0
Saturday Night,Bay City Rollers,4
Rock 'n' Roll Love Letter,Bay City Rollers,4
Money Honey,Bay City Rollers,4
I Only Want to Be with You,Bay City Rollers,4
The Way I Feel Tonight - Single Version,Bay City Rollers,4
Maybe I'm a Fool to Love You,Bay City Rollers,4
I Think I Love You,David Cassidy,4
I Think I Love You,The Partridge Family,4
Save Your Kisses For Me,Brotherhood of Man,4
I'd Like to Teach the World to Sing (In Perfect Harmony) - Rerecorded Version,The New Seekers,1
"Look What They've Done to My Song, Ma",The New Seekers,3
Never Ending Song of Love,Delaney & Bonnie,4
Rock On,David Essex,1
One Bad Apple,The Osmonds,4
Down By The Lazy River,The Osmonds,0
Yo-Yo,The Osmonds,4
He Ain't Heavy...He's My Brother,The Osmonds,3
