Title,Artist,Cluster
16 Candles,Johnny Maestro,0
16 Candles,The Crests,0
Please Mr. Postman - Single Version / Mono,The Marvelettes,0
Stay,Maurice Williams,0
Stay,The Zodiacs,0
Sherry,Frankie Valli & The Four Seasons,0
Be My Baby,The Ronettes,0
I Only Have Eyes for You,The Flamingos,4
We Belong Together,Ritchie Valens,0
Since I Don't Have You,The Skyliners,0
I'm Walkin',Fats Domino,0
Let's Have A Party,Wanda Jackson,0
The Locomotion,Little Eva,0
Party Doll,Buddy Knox,0
Big Girls Don't Cry,Frankie Valli & The Four Seasons,0
Save the Last Dance for Me,The Drifters,0
True Love Ways,Buddy Holly,0
Lonely Teardrops,Jackie Wilson,0
Rama Lama Ding Dong (Original version 1958),The Edsels,0
Heart and Soul,The Cleftones,0
Duke of Earl,Gene Chandler,0
Little Star,The Elegants,0
Come Softly To Me,The Fleetwoods,0
There's A Moon Out Tonight,The Capris,0
This Magic Moment,The Drifters,0
It's My Party,Lesley Gore,0
Speedoo,The Cadillacs,0
Speedoo,Navarro,0
Twilight Time - Single Version,The Platters,0
Sincerely,The Moonglows,4
Sweet Nothin's,Brenda Lee,0
You Send Me - Remastered,Sam Cooke,0
Whispering Bells,The Del-Vikings,0
Whispering Bells,Krips Johnson,0
Then He Kissed Me,The Crystals,0
I Get a Thrill - 2006 Remaster,The Honeydrippers,0
Sea of Love - 2006 Remaster,The Honeydrippers,0
I Got a Woman - 2006 Remaster,The Honeydrippers,0
Rockin' at Midnight - 2006 Remaster,The Honeydrippers,1
There Goes My Baby (Single Version),The Drifters,0
3AM,Matchbox Twenty,4
6th Avenue Heartache,The Wallflowers,1
1983,Neon Trees,4
The 59th Street Bridge Song (Feelin' Groovy),Simon & Garfunkel,0
99 Luftballons,Nena,4
According To You,Orianthi,4
Afternoon Delight,Starland Vocal Band,4
Ain't No Stoppin' Us Now,McFadden & Whitehead,4
Alfie,Lily Allen,0
All Right,Christopher Cross,4
All Star,Smash Mouth,4
All Summer Long,Kid Rock,1
Angel Of The Morning,Juice Newton,4
As Long as You Follow - 2002 Remaster,Fleetwood Mac,4
Baby Driver,Simon & Garfunkel,4
Back Off Boogaloo,Ringo Starr,4
Baker Street,Gerry Rafferty,1
Ballroom Blitz,Sweet,4
Beach Baby,First Class,1
Bobbie Sue,The Oak Ridge Boys,0
Boulevard,Jackson Browne,4
The Boys Are Back In Town,Thin Lizzy,1
Brandy (You're a Fine Girl),Looking Glass,0
Break My Stride,Matthew Wilder,0
Bring It Back Again,Stray Cats,0
Bus Stop - 1997 Remaster,The Hollies,0
The Candy Man,Sammy Davis Jr.,4
Celebration,Kool & The Gang,4
Champagne Jam,Atlanta Rhythm Section,1
Changes,Yes,3
Chevy Van (Original),Sammy Johns,0
Chuck E's in Love,Rickie Lee Jones,4
Clair,Gilbert O'Sullivan,0
Cliffs Of Dover - Instrumental,Eric Johnson,4
Come Dancing,The Kinks,4
Crazy Little Thing Called Love,Queen,0
Crocodile Rock,Elton John,4
The Curly Shuffle,Jump 'N' The Saddle Band,0
Dan the Banjo Man,Dan The Banjo Man,0
The Death of Suzzy Roche,The Roches,0
The Devil Went Down to Georgia,The Charlie Daniels Band,4
Dream Weaver,Gary Wright,4
Dreamer - Remastered 2010,Supertramp,4
Driver's Seat,Sniff 'n' The Tears,4
The Entertainer - The Sting/Soundtrack Version/Orchestra Version,Marvin Hamlisch,0
"Everybody Loves Me, Baby",Don McLean,4
Everyday - Single Version,Buddy Holly,0
Fanfare For The Common Man,"Emerson, Lake & Palmer",3
Fat Bottomed Girls,Queen,4
Fireflies,Owl City,4
Float On,Modest Mouse,4
Frankenstein,The Edgar Winter Group,1
Free And Easy,Helen Reddy,0
Free Ride,The Edgar Winter Group,0
Funkytown - Single Version,Lipps Inc.,4
Genius of Love,Tom Tom Club,1
Get Down,Gilbert O'Sullivan,0
Go All The Way,Raspberries,4
Two Of Us - Remastered 2009,The Beatles,4
Across The Universe - Remastered 2009,The Beatles,4
I Me Mine - Remastered 2009,The Beatles,0
Let It Be - Remastered 2009,The Beatles,4
One After 909 - Remastered 2009,The Beatles,0
The Long And Winding Road - Remastered 2009,The Beatles,4
Get Back - Remastered 2009,The Beatles,0
Come Together - Remastered 2009,The Beatles,4
Something - Remastered 2009,The Beatles,0
Maxwell's Silver Hammer - Remastered 2009,The Beatles,4
Oh! Darling - Remastered 2009,The Beatles,4
Octopus's Garden - Remastered 2009,The Beatles,0
I Want You (She's So Heavy) - Remastered 2009,The Beatles,3
Here Comes The Sun - Remastered 2009,The Beatles,0
Because - Remastered 2009,The Beatles,0
You Never Give Me Your Money - Remastered 2009,The Beatles,4
Sun King - Remastered 2009,The Beatles,0
Mean Mr Mustard - Remastered 2009,The Beatles,0
Polythene Pam - Remastered 2009,The Beatles,0
She Came In Through The Bathroom Window - Remastered 2009,The Beatles,0
Golden Slumbers - Remastered 2009,The Beatles,0
Carry That Weight - Remastered 2009,The Beatles,0
The End - Remastered 2009,The Beatles,0
Her Majesty - Remastered 2009,The Beatles,0
All Together Now - Remastered 2009,The Beatles,0
All You Need Is Love - Remastered 2009,The Beatles,4
Dear Prudence - Remastered 2009,The Beatles,4
Glass Onion - Remastered 2009,The Beatles,0
"Ob-La-Di, Ob-La-Da - Remastered 2009",The Beatles,0
Wild Honey Pie - Remastered 2009,The Beatles,0
The Continuing Story Of Bungalow Bill - Remastered 2009,The Beatles,4
While My Guitar Gently Weeps - Remastered 2009,The Beatles,1
Happiness Is A Warm Gun - Remastered 2009,The Beatles,0
Martha My Dear - Remastered 2009,The Beatles,0
I'm So Tired - Remastered 2009,The Beatles,0
Blackbird - Remastered 2009,The Beatles,0
Piggies - Remastered 2009,The Beatles,0
Rocky Raccoon - Remastered 2009,The Beatles,4
Don't Pass Me By - Remastered 2009,The Beatles,4
Why Don't We Do It In The Road? - Remastered 2009,The Beatles,0
I Will - Remastered 2009,The Beatles,0
Julia - Remastered 2009,The Beatles,0
Birthday - Remastered 2009,The Beatles,0
Yer Blues - Remastered 2009,The Beatles,4
Everybody's Got Something To Hide Except Me And My Monkey - Remastered 2009,The Beatles,0
Sexy Sadie - Remastered 2009,The Beatles,4
Helter Skelter - Remastered 2009,The Beatles,1
Revolution 1 - Remastered 2009,The Beatles,4
Honey Pie - Remastered 2009,The Beatles,0
Revolution 9 - Remastered 2009,The Beatles,3
Magical Mystery Tour - Remastered 2009,The Beatles,0
The Fool On The Hill - Remastered 2009,The Beatles,0
Blue Jay Way - Remastered 2009,The Beatles,4
Your Mother Should Know - Remastered 2009,The Beatles,0
I Am The Walrus - Remastered 2009,The Beatles,1
"Hello, Goodbye - Remastered 2009",The Beatles,4
Strawberry Fields Forever - Remastered 2009,The Beatles,4
Penny Lane - Remastered 2009,The Beatles,0
"Baby, You're A Rich Man - Remastered 2009",The Beatles,0
Sgt. Pepper's Lonely Hearts Club Band - Remastered 2009,The Beatles,0
With A Little Help From My Friends - Remastered 2009,The Beatles,0
Lucy In The Sky With Diamonds - Remastered 2009,The Beatles,4
Getting Better - Remastered 2009,The Beatles,0
Fixing A Hole - Remastered 2009,The Beatles,0
She's Leaving Home - Remastered 2009,The Beatles,4
Being For The Benefit Of Mr. Kite! - Remastered 2009,The Beatles,0
Within You Without You - Remastered 2009,The Beatles,1
When I'm Sixty Four - Remastered 2009,The Beatles,0
Lovely Rita - Remastered 2009,The Beatles,0
Good Morning Good Morning - Remastered 2009,The Beatles,0
Sgt. Pepper's Lonely Hearts Club Band - Reprise / Remastered 2009,The Beatles,0
A Day In The Life - Remastered 2009,The Beatles,1
Taxman - Remastered 2009,The Beatles,0
Eleanor Rigby - Remastered 2009,The Beatles,0
I'm Only Sleeping - Remastered 2009,The Beatles,0
"Here, There And Everywhere - Remastered 2009",The Beatles,0
Yellow Submarine - Remastered 2009,The Beatles,0
She Said She Said - Remastered 2009,The Beatles,0
Good Day Sunshine - Remastered 2009,The Beatles,0
And Your Bird Can Sing - Remastered 2009,The Beatles,0
Doctor Robert - Remastered 2009,The Beatles,0
Got To Get You Into My Life - Remastered 2009,The Beatles,0
Tomorrow Never Knows - Remastered 2009,The Beatles,0
Drive My Car - Remastered 2009,The Beatles,0
Norwegian Wood (This Bird Has Flown) - Remastered 2009,The Beatles,0
Nowhere Man - Remastered 2009,The Beatles,0
Think For Yourself - Remastered 2009,The Beatles,0
Michelle - Remastered 2009,The Beatles,0
Girl - Remastered 2009,The Beatles,0
In My Life - Remastered 2009,The Beatles,0
Run For Your Life - Remastered 2009,The Beatles,0
Help! - Remastered 2009,The Beatles,0
The Night Before - Remastered 2009,The Beatles,0
You've Got To Hide Your Love Away - Remastered 2009,The Beatles,0
You're Going To Lose That Girl - Remastered 2009,The Beatles,0
Ticket To Ride - Remastered 2009,The Beatles,0
Yesterday - Remastered 2009,The Beatles,0
Dizzy Miss Lizzy - Remastered 2009,The Beatles,0
No Reply - Remastered 2009,The Beatles,0
I'm A Loser - Remastered 2009,The Beatles,0
Rock And Roll Music - Remastered 2009,The Beatles,0
I'll Follow The Sun - Remastered 2009,The Beatles,0
Eight Days A Week - Remastered 2009,The Beatles,0
Honey Don't - Remastered 2009,The Beatles,0
A Hard Day's Night - Remastered 2009,The Beatles,0
I Should Have Known Better - Remastered 2009,The Beatles,0
If I Fell - Remastered 2009,The Beatles,0
I'm Happy Just To Dance With You - Remastered 2009,The Beatles,0
And I Love Her - Remastered 2009,The Beatles,0
Can't Buy Me Love - Remastered 2009,The Beatles,0
Any Time At All - Remastered 2009,The Beatles,0
I'll Cry Instead - Remastered 2009,The Beatles,0
Things We Said Today - Remastered 2009,The Beatles,0
I'll Be Back - Remastered 2009,The Beatles,0
It Won't Be Long - Remastered 2009,The Beatles,0
All My Loving - Remastered 2009,The Beatles,0
Don't Bother Me - Remastered 2009,The Beatles,0
Roll Over Beethoven - Remastered 2009,The Beatles,0
You Really Got A Hold On Me - Remastered 2009,The Beatles,0
Money (That's What I Want) - Remastered 2009,The Beatles,0
I Saw Her Standing There - Remastered 2009,The Beatles,0
Chains - Remastered 2009,The Beatles,0
Please Please Me - Remastered 2009,The Beatles,0
Love Me Do - Remastered 2009,The Beatles,0
P.S. I Love You - Remastered 2009,The Beatles,0
There's A Place - Remastered 2009,The Beatles,0
Twist And Shout - Remastered 2009,The Beatles,0
Do You Want To Know A Secret - Remastered 2009,The Beatles,0
It's Going To Take Some Time,Carpenters,0
Jambalaya (On The Bayou),Carpenters,4
Touch Me When We're Dancing,Carpenters,4
Solitaire,Carpenters,1
We've Only Just Begun,Carpenters,0
Only Yesterday,Carpenters,4
Sing,Carpenters,4
Calling Occupants Of Interplanetary Craft (The Recognized Anthem Of World Contact Day),Carpenters,3
I Believe You,Carpenters,4
B'wana She No Home,Carpenters,1
All You Get From Love Is A Love Song,Carpenters,4
I Just Fall In Love Again,Carpenters,4
On The Balcony Of The Casa Rosada/Don't Cry For Me Argentina,Carpenters,3
"Sweet, Sweet Smile",Carpenters,0
Two Sides,Carpenters,4
Man Smart Woman Smarter,Carpenters,4
There's A Kind Of Hush,Carpenters,0
You,Carpenters,4
Sandy,Carpenters,4
Goofus,Carpenters,0
Can't Smile Without You,Carpenters,4
I Need To Be In Love,Carpenters,4
One More Time,Carpenters,4
Boat To Sail,Carpenters,4
I Have You,Carpenters,4
Only Yesterday,Carpenters,4
Please Mr. Postman,Carpenters,0
Eventide,Carpenters,0
Top Of The World - Single Mix,Carpenters,0
Rainy Days And Mondays - Single Version,Carpenters,4
Yesterday Once More,Carpenters,4
For All We Know,Carpenters,0
(They Long To Be) Close To You,Carpenters,4
Heather,Carpenters,0
"Fun, Fun, Fun",Carpenters,0
Da Doo Ron Ron,Carpenters,0
Johnny Angel,Carpenters,0
The Night Has A Thousand Eyes,Carpenters,0
Our Day Will Come,Carpenters,0
One Fine Day,Carpenters,0
A Song For You,Carpenters,1
Hurting Each Other,Carpenters,0
Goodbye To Love,Carpenters,4
Intermission (Carpenters/A Song For You),Carpenters,0
Bless The Beasts And Children,Carpenters,0
Flat Baroque,Carpenters,0
Piano Picker,Carpenters,0
I Won't Last A Day Without You,Carpenters,4
Crystal Lullaby,Carpenters,4
Road Ode,Carpenters,4
Saturday,Carpenters,0
Let Me Be The One,Carpenters,0
(A Place To) Hide Away,Carpenters,4
Superstar,Carpenters,4
Druscilla Penny,Carpenters,0
One Love,Carpenters,4
Bacharach/David Medley: Knowing When To Leave/Make It Easy On Yourself/There's Always Something There To Remind Me/I'll Never Fall In Love Again/Walk On By/Do You Know The Way To San Jose,Carpenters,1
Sometimes,Carpenters,0
Love Is Surrender,Carpenters,0
Maybe It's You,Carpenters,0
Reason To Believe,Carpenters,0
Help,Carpenters,0
Baby It's You,Carpenters,0
I'll Never Fall In Love Again,Carpenters,0
Crescent Noon,Carpenters,4
Mr. Guder,Carpenters,4
I Kept On Loving You,Carpenters,0
Another Song,Carpenters,1
Ticket To Ride,Carpenters,4
Sweet City Woman,Stampeders,4
Born To Be Wild - Single Version,Steppenwolf,4
Magic Carpet Ride,Steppenwolf,1
The Pusher,Steppenwolf,1
I'm Easy,Keith Carradine,4
Shine a Little Love,Electric Light Orchestra,1
Confusion,Electric Light Orchestra,4
Need Her Love,Electric Light Orchestra,1
The Diary of Horace Wimp,Electric Light Orchestra,4
Last Train to London,Electric Light Orchestra,1
Midnight Blue,Electric Light Orchestra,4
Don't Bring Me Down,Electric Light Orchestra,4
Mr. Blue Sky,Electric Light Orchestra,1
Tightrope,Electric Light Orchestra,1
Telephone Line,Electric Light Orchestra,1
Rockaria!,Electric Light Orchestra,4
Mission (A World Record),Electric Light Orchestra,1
So Fine,Electric Light Orchestra,4
Livin' Thing,Electric Light Orchestra,4
Above the Clouds,Electric Light Orchestra,0
Do Ya,Electric Light Orchestra,4
Shangri-La,Electric Light Orchestra,1
Fire On High,Electric Light Orchestra,1
Evil Woman,Electric Light Orchestra,1
Strange Magic,Electric Light Orchestra,1
Can't Get It out of My Head,Electric Light Orchestra,4
Turn to Stone,Electric Light Orchestra,4
It's Over,Electric Light Orchestra,4
Sweet Talkin' Woman,Electric Light Orchestra,4
Mr. Roboto,Styx,1
A.D. 1928,Styx,0
Rockin' The Paradise,Styx,4
Too Much Time On My Hands,Styx,1
Nothing Ever Goes As Planned,Styx,1
The Best Of Times,Styx,4
Lonely People,Styx,1
Snowblind,Styx,1
A.D. 1958,Styx,0
Lights,Styx,1
Babe,Styx,1
Borrowed Time,Styx,1
Blue Collar Man (Long Nights),Styx,4
Renegade,Styx,4
The Grand Illusion,Styx,1
Fooling Yourself (The Angry Young Man),Styx,1
Come Sail Away,Styx,1
Superstars,Styx,4
Miss America,Styx,1
Mademoiselle,Styx,4
Light Up,Styx,4
Lorelei,Styx,4
Lady,Styx,0
Eye In The Sky,The Alan Parsons Project,1
Psychobabble,The Alan Parsons Project,1
Games People Play,The Alan Parsons Project,1
Time,The Alan Parsons Project,1
Lucifer,The Alan Parsons Project,1
Damned If I Do,The Alan Parsons Project,1
I Wouldn't Want to Be Like You,The Alan Parsons Project,4
Some Other Time,The Alan Parsons Project,4
I Robot,The Alan Parsons Project,1
Breakdown,The Alan Parsons Project,4
Don't Let It Show,The Alan Parsons Project,1
The Voice,The Alan Parsons Project,1
Day After Day (The Show Must Go On),The Alan Parsons Project,4
The Raven - 1987 Remix,The Alan Parsons Project,4
The Tell-Tale Heart - 1987 Remix,The Alan Parsons Project,1
(The System Of) Doctor Tarr And Professor Fether - 1987 Remix,The Alan Parsons Project,4
Rhythm of Love,Yes,1
Owner of a Lonely Heart,Yes,1
Hold On,Yes,1
It Can Happen,Yes,1
Leave It,Yes,4
Our Song,Yes,4
City of Love,Yes,1
Hearts,Yes,3
Roundabout - 2008 Remaster,Yes,3
Long Distance Runaround - 2008 Remaster,Yes,4
We Have Heaven - 2008 Remaster,Yes,0
"I've Seen All Good People: a. Your Move, b. All Good People - 2008 Remaster",Yes,3
The Clap - 2008 Remaster,Yes,4
Rainy Days And Mondays,Carpenters,4
Mandy,Barry Manilow,4
If,Bread,0
All Out of Love,Air Supply,4
Please Mr. Please,Olivia Newton-John,4
You Needed Me,Anne Murray,4
Love Will Keep Us Together,Captain & Tennille,4
My Eyes Adored You,Frankie Valli,4
Angie Baby,Helen Reddy,4
Everything I Own,Bread,0
When Will I See You Again,The Three Degrees,0
I'm Not Lisa,Jessi Colter,4
This Masquerade,Carpenters,1
Making Love Out of Nothing at All,Air Supply,1
Lost In Love,Air Supply,4
Make It with You,Bread,4
Have You Never Been Mellow,Olivia Newton-John,4
"Endless Love - From ""The Endless Love"" Soundtrack",Lionel Richie,1
"Endless Love - From ""The Endless Love"" Soundtrack",Diana Ross,1
The Winner Takes It All,ABBA,1
I'm Not In Love,10cc,1
Too Much Heaven,Bee Gees,1
Knock Three Times,Tony Orlando & Dawn,0
Candida,The Dawn,0
Candida,Tony Orlando & Dawn,0
"Say, Has Anybody Seen My Sweet Gypsy Rose",Tony Orlando & Dawn,0
Who's In The Strawberry Patch With Sally - Digitally Remastered 1998,Tony Orlando & Dawn,0
How Deep Is Your Love,Bee Gees,4
Baby I'm-a Want You,Bread,0
Every Woman in the World,Air Supply,4
Long Tall Glasses (I Can Dance) - Remastered,Leo Sayer,0
Swearin' to God - Single Version,Frankie Valli,4
Steppin' Out (I'm Gonna Boogie Tonight) - Digitally Remastered 1998,Tony Orlando & Dawn,0
Bad Time - Remastered 2002,Grand Funk Railroad,0
I've Never Been to Me - Rerecorded,Charlene,4
Bungle in the Jungle - 2002 Remaster,Jethro Tull,4
Aubrey,Bread,4
Here I Am (Just When I Thought I Was Over You),Air Supply,4
When Will I Be Loved,Linda Ronstadt,0
Walking In Rhythm,The Blackbyrds,4
Rhinestone Cowboy,Glen Campbell,4
I'd Love You to Want Me,Lobo,4
Do That To Me One More Time,Captain & Tennille,4
Poetry Man,Phoebe Snow,1
Sha-La-La (Make Me Happy),Al Green,0
You Light Up My Life,Debby Boone,4
Chiquitita,ABBA,1
I Started A Joke,Bee Gees,0
I'll Never Love This Way Again,Dionne Warwick,4
The One That You Love,Air Supply,4
Hopelessly Devoted To You - From “Grease” Soundtrack,Olivia Newton-John,0
Only Women Bleed,Alice Cooper,4
I'd Really Love to See You Tonight,England Dan & John Ford Coley,0
Philadelphia Freedom,Elton John,1
Don't give up on us,David Soul,4
That's the Way of the World,"Earth, Wind & Fire",1
Someone Saved My Life Tonight,Elton John,3
Leader of the Band,Dan Fogelberg,4
Lost Without Your Love,Bread,0
Fernando,ABBA,4
Some Kind Of Wonderful - Remastered 1999,Grand Funk Railroad,4
At Seventeen - Remastered,Janis Ian,1
Without You,Air Supply,1
You're No Good,Linda Ronstadt,4
It's Too Late,Carole King,4
Guitar Man,Bread,4
Could It Be Magic,Barry Manilow,3
Broken Hearted Me,Anne Murray,4
Listen To What The Man Said - 1993 Digital Remaster,Wings,4
Dance with Me,Orleans,0
Sailing,Christopher Cross,4
To Love Somebody,Bee Gees,0
Woman in Love,Barbra Streisand,4
I Am Woman,Helen Reddy,4
You're My World,Helen Reddy,0
Delta Dawn,Helen Reddy,4
You And Me Against The World,Helen Reddy,4
Ain't No Way To Treat A Lady,Helen Reddy,4
I Don't Know How To Love Him,Helen Reddy,4
Leave Me Alone,Helen Reddy,4
Crazy Love,Helen Reddy,4
Peaceful,Helen Reddy,0
Think I'll Write A Song,Helen Reddy,0
Emotion,Helen Reddy,0
We'll Sing In The Sunshine,Helen Reddy,4
I Think It's Going To Rain Today,Helen Reddy,0
Our House,Helen Reddy,0
How Can I Be Sure,Helen Reddy,0
A Song For You,Helen Reddy,0
I Believe In Music,Helen Reddy,4
Somewhere In The Night,Helen Reddy,4
Raised On Rock,Helen Reddy,0
I've Been Wanting You So Long,Helen Reddy,4
You Have Lived,Helen Reddy,4
I'll Be Your Audience,Helen Reddy,4
Loneliness,Helen Reddy,4
Showbiz,Helen Reddy,0
Lovin' You,Helen Reddy,0
Until It's Time For You To Go,Helen Reddy,0
This Masquerade,Helen Reddy,4
I Didn't Mean To Love You,Helen Reddy,4
Where Is My Friend,Helen Reddy,4
And I Love You So,Helen Reddy,4
What Would They Say,Helen Reddy,0
Where Is The Love,Helen Reddy,0
"Hit The Road, Jack",Helen Reddy,0
The Last Blues Song,Helen Reddy,0
Dancing Queen,ABBA,4
Mamma Mia,ABBA,4
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,1
Take A Chance On Me,ABBA,4
Waterloo,ABBA,0
Super Trouper,ABBA,4
Voulez-Vous,ABBA,1
Head Over Heels,ABBA,4
On And On And On,ABBA,4
"Andante, Andante",ABBA,1
Me And I,ABBA,1
Our Last Summer,ABBA,4
Lay All Your Love On Me,ABBA,1
Happy New Year,ABBA,1
The Piper,ABBA,4
I Have A Dream,ABBA,1
Does Your Mother Know,ABBA,4
The Name Of The Game,ABBA,1
Thank You For The Music,ABBA,4
"Knowing Me, Knowing You",ABBA,4
"Money, Money, Money",ABBA,0
SOS,ABBA,4
Bang-A-Boomerang,ABBA,0
"I Do, I Do, I Do, I Do, I Do",ABBA,4
So Long,ABBA,0
Dance (While The Music Still Goes On),ABBA,4
"Honey, Honey",ABBA,0
Take A Chance On Me,ABBA,4
Thank You For The Music,ABBA,4
Even the Nights Are Better,Air Supply,4
Poison,Alice Cooper,1
School's Out,Alice Cooper,4
I'm Eighteen,Alice Cooper,0
Feed My Frankenstein,Alice Cooper,1
Welcome to My Nightmare,Alice Cooper,1
Devil's Food,Alice Cooper,4
The Black Widow,Alice Cooper,4
Some Folks,Alice Cooper,4
Department of Youth,Alice Cooper,4
Cold Ethyl,Alice Cooper,0
Years Ago,Alice Cooper,0
Steven,Alice Cooper,1
Billion Dollar Babies,Alice Cooper,4
No More Mr. Nice Guy,Alice Cooper,0
Under My Wheels,Alice Cooper,0
Danny's Song,Anne Murray,0
Snowbird,Anne Murray,0
Could I Have This Dance,Anne Murray,4
I Just Fall In Love Again,Anne Murray,0
Tennessee Waltz,Anne Murray,0
There Goes My Everything,Anne Murray,4
I'm Gonna Sit Right Down And Write Myself A Letter,Billy Williams,0
So Into You,Atlanta Rhythm Section,4
I'm Not Gonna Let It Bother Me Tonight,Atlanta Rhythm Section,4
Evileen,Atlanta Rhythm Section,4
Hangin' Around,The Edgar Winter Group,0
Paper Blood - 2017 Remaster,"Emerson, Lake & Palmer",1
Come On In - Single Version,The Oak Ridge Boys,0
Dancing The Night Away,The Oak Ridge Boys,1
Didn't She Really Thrill Them (Back In 1924),The Oak Ridge Boys,4
Dig A Little Deeper In The Well,The Oak Ridge Boys,0
Dream On - Single Version,The Oak Ridge Boys,4
Easy,The Oak Ridge Boys,4
Elvira,The Oak Ridge Boys,0
Emmylou,The Oak Ridge Boys,0
Every Now And Then,The Oak Ridge Boys,0
Freckles,The Oak Ridge Boys,4
Gonna Take A Lot Of River,The Oak Ridge Boys,0
I Gotta Get Over This,The Oak Ridge Boys,0
I Wish You Could Have Turned My Head (And Left My Heart Alone),The Oak Ridge Boys,4
I'll Be True To You,The Oak Ridge Boys,4
(I'm Settin') Fancy Free - Single Version,The Oak Ridge Boys,4
Leaving Louisiana In The Broad Daylight,The Oak Ridge Boys,0
Let Me Be The One,The Oak Ridge Boys,4
My Radio Sure Sounds Good To Me,The Oak Ridge Boys,0
An Old Time Family Bluegrass Band,The Oak Ridge Boys,0
Old Time Lovin',The Oak Ridge Boys,0
Sail Away,The Oak Ridge Boys,4
Sometimes The Rain Won't Let Me Sleep,The Oak Ridge Boys,4
There Must Be Something About Me That She Loves,The Oak Ridge Boys,0
This Crazy Love,The Oak Ridge Boys,0
Trying To Love Two Women - Single Version,The Oak Ridge Boys,0
Up On Cripple Creek,The Oak Ridge Boys,4
Y'all Come Back Saloon,The Oak Ridge Boys,0
You're The One - Single Version,The Oak Ridge Boys,0
Love Shack,The B-52's,1
Rock Lobster,The B-52's,3
Private Idaho,The B-52's,4
Roam,The B-52's,1
Howlin' for You,The Black Keys,4
You Get What You Give,New Radicals,1
Photograph,Ringo Starr,4
It Don't Come Easy,Ringo Starr,0
You're Sixteen (You’re Beautiful And You’re Mine),Ringo Starr,0
No-No Song,Ringo Starr,0
Only You (And You Alone),Ringo Starr,4
Oh My My,Ringo Starr,4
Act Naturally,Ringo Starr,0
Act Naturally,Buck Owens,0
Shang-a-Lang,Bay City Rollers,0
Keep on Dancing - Les McKeown Version,Bay City Rollers,0
Remember (Sha La La La),Bay City Rollers,0
Summerlove Sensation,Bay City Rollers,4
You Made Me Believe In Magic,Bay City Rollers,0
Saturday Night,Bay City Rollers,0
Rock 'n' Roll Love Letter,Bay City Rollers,0
Money Honey,Bay City Rollers,4
I Only Want to Be with You,Bay City Rollers,4
The Way I Feel Tonight - Single Version,Bay City Rollers,4
Maybe I'm a Fool to Love You,Bay City Rollers,4
I Think I Love You,David Cassidy,0
I Think I Love You,The Partridge Family,0
Save Your Kisses For Me,Brotherhood of Man,0
I'd Like to Teach the World to Sing (In Perfect Harmony) - Rerecorded Version,The New Seekers,0
"Look What They've Done to My Song, Ma",The New Seekers,4
Never Ending Song of Love,Delaney & Bonnie,4
Rock On,David Essex,4
One Bad Apple,The Osmonds,0
Down By The Lazy River,The Osmonds,0
Yo-Yo,The Osmonds,4
He Ain't Heavy...He's My Brother,The Osmonds,4
